Unique Items
View source
Unique Items are the second-most common item to find and bear the words "Unique Item" in their lore in yellow text. Unique items can be identified at the Identifier for decent ID's, sometimes better than Rares and Legendaries around the same level.

They are rarer than Normal items, but more common than all other rarities.


Contents
1	List of Unique Items
1.1	Weapons
1.1.1	Bows
1.1.2	Spears
1.1.3	Wands
1.1.4	Daggers
1.1.5	Reliks
1.2	Armour
1.2.1	Helmets
1.2.2	Chestplates
1.2.3	Leggings
1.2.4	Boots
1.3	Accessories
1.3.1	Rings
1.3.2	Necklaces
1.3.3	Bracelets
2	Navigation
List of Unique Items
Weapons
Bows
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Refined Bow	1	-	7-13	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Stormstrike	3	-	5-8	-	-	-	-	-	-	-	-	-	-	Fast	1	?
Aldorei's Training Bow	5	-	7-15	-	-	-	-	-	-	-	-	-	-	Fast	0	?
Tormenter	6	-	7-9	-	-	-	-	-	-	2	-	-	-	Very Fast	1	?
Breeze	7	-	10-12	-	-	-	-	8-14	-	-	-	-	4	Slow	1	?
Nemract's Bow	7	-	12-23	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Flaming Bow	9	-	12-20	-	-	-	6-8	-	-	-	-	4	-	Slow	1	?
Stale	9	-	12-16	-	-	8-14	-	-	-	-	-	-	-	Normal	1	?
Refined Longbow	9	-	20-28	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Gavel Imported Bow	12	-	9-16	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Leech Bow	12	-	19-26	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Green Perfection	15	-	23-25	-	-	-	11-14	-	-	-	-	5	-	Slow	1	?
Ivy	17	-	20-32	10-16	-	-	-	-	-	-	-	-	-	Slow	1	?
Spiderweb String	17	-	40-55	-	-	-	-	-	-	-	-	-	-	Very Slow	1	?
WitherString	18	-	30-45	-	-	2-8	-	-	-	-	-	-	-	Slow	1	?
Frog	19	-	12-18	6-12	-	4-10	-	-	12	-	8	-	-	Normal	1	?
Silver Bow	20	-	22-40	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Retina Shooter	22	-	45-70	15-20	-	-	-	-	5	-	-	-	-	Very Slow	1	?
Harpoon	23	-	74-84	-	-	-	-	-	-	-	-	-	-	Very Slow	1	?
The Wildwing	24	-	10-23	-	-	-	-	15-30	-	-	-	-	5	Normal	1	?
Cracheur	25	-	8-14	-	-	12-22	-	-	-	-	14	-	-	Fast	1	?
Sharpshooter	26	-	36-43	-	-	-	-	-	-	-	-	-	-	Normal	1	?
Cobra	27	-	8-13	-	6-18	-	-	-	-	15	-	-	-	Fast	1	?
Aeolian	29	-	24-50	-	-	-	-	14-22	-	-	-	-	10	Normal	1	?
Bow of Wisdom	29	-	50-66	-	-	6-12	-	-	-	-	5	-	-	Slow	2	?
Venom	30	-	28-40	-	-	-	20-40	-	-	-	-	-	-	Slow	1	?
Precision	32	-	160-180	-	-	-	-	-	-	-	-	-	-	Very slow	0	?
Radiance	34	-	34-49	-	-	12-24	15-19	-	-	-	15	15	-	Slow	1	?
Etikal	35	-	22-32	8-12	8-12	8-12	8-12	8-12	5	5	5	5	5	Slow	2	?
Long Bow	38	-	40-50	40-50	-	-	-	-	25	-	-	-	-	Slow	1	?
Salmon	40	-	22-44	-	-	33-55	-	-	-	-	5	-	-	Normal	1	23
Flamiche	41	-	18-22	-	-	-	16-20	-	-	-	-	25	-	Very Fast	1	?
Crossbow	42	-	155-165	-	-	-	-	-	-	-	-	-	-	Very Slow	2	?
Crafted Gem	44	-	1-20	-	-	-	-	-	-	-	-	-	-	Fast	4	?
Nivla's Arch	45	-	122-136	80-96	-	-	-	-	-	-	-	-	-	Very Slow	2	26
Scorcher	47	-	34-40	-	-	-	50-60	-	-	-	-	30	-	Normal	1	?
Grenouille	48	-	50-75	-	-	20-35	-	-	-	-	30	-	-	Normal	2	27
Sparkles	48	-	38-50	-	18-65	-	-	-	-	22	-	-	-	Fast	1	27
Quickshot	50	-	50-70	-	-	-	-	-	-	20	-	-	-	Very Fast	2	28
Dancer's Rhythm	51	-	58-75	-	-	-	-	20-28	-	-	-	-	20	Normal	1	29
Armageddon	53	-	58-75	-	20-120	-	-	-	10	20	-	-	-	Very Slow	1	30
Ballista	55	-	125-250	75-150	-	-	-	-	30	-	-	-	-	Very Slow	2	31
Windforce	57	-	30-46	-	-	-	-	28-52	-	-	-	-	-	Very Fast	2	?
Whitecap	59	-	76-112	-	-	51-65	-	-	-	-	30	-	-	Normal	2	33
Raging Sun	61	-	110-150	-	-	-	60-110	-	-	-	-	25	-	Slow	2	?
Stranglevine	63	-	80-125	75-120	-	-	-	-	-	-	-	-	-	Slow	2	?
Wolf Bow	65	-	120-230	-	-	-	-	-	-	-	-	-	-	Normal	2	?
Clearwater	67	-	100-120	-	-	60-80	-	-	-	-	55	-	-	Normal	2	?
Steam Vent	69	-	76-128	-	-	-	48-85	37-99	-	-	-	20	20	Slow	2	?
Chaotic	71	-	5-25	-	5-175	-	-	-	-	40	-	-	-	Very Fast	0	?
Lazybones	74	-	275-350	-	-	115-150	-	-	-	-	-	-	-	Very Slow	3	?
Hope	76	-	240-280	-	-	-	-	-	-	-	-	-	-	Slow	2	?
Full Charge	77	-	525-650	-	-	-	-	-	-	-	-	-	-	Very Slow	4	?
Sight of the Druid	78	-	170-215	100-130	-	-	-	-	35	-	15	-	-	Slow	2	?
Winterspell	79	-	135-222	-	-	-	-	120-180	-	-	-	-	-	Slow	2	?
Storm Caller	82	-	80-110	-	35-75	-	-	45-55	-	25	-	-	25	Fast	2	?
Solitude	84	The Lost	90-130	-	-	-	-	80-110	-	-	-	-	60	Fast	3	?
Flintlock	86	-	195-325	-	-	-	105-175	-	-	-	-	-	-	Slow	2	?
Slumber	88	-	150-240	-	-	130-210	-	-	-	-	45	-	-	Slow	3	?
Black Arrow	89	-	10-35	10-35	-	-	10-35	-	20	-	-	20	-	Slow	2	?
Jewelled Sinew	90	-	-	-	25-175	75-125	50-150	-	-	20	20	20	-	Normal	1	?
Dunesweeper	92	-	145-200	-	-	-	-	65-90	25	-	-	-	45	Fast	2	?
Magnus	92	-	600-800	-	-	-	400-500	-	-	50	-	50	-	Super Slow	2	?
Crescent	93	-	145-250	-	-	75-130	-	-	-	-	60	-	-	Normal	2	?
Sleeping Beast	95	-	120-240	110-160	50-220	-	-	-	30	30	-	-	-	Slow	3	?
Demon's Will	97	-	120-180	-	110-180	-	110-180	-	-	40	-	30	-	Slow	2	?
Awakening	100	-	-	50-100	50-100	50-100	50-100	50-100	-	-	-	-	-	Normal	0	?
Spears
Name	Lv. Min	Quest Req	Neutral Dam.	Earth Dam.	Thunder Dam.	Water Dam.	Fire Dam.	Air Dam.	Str. Min	Dex. Min	Int. Min	Def. Min	Agi. Min	Attack Speed	Slots	First ID
Aloof	2	-	2-8	-	-	-	-	-	-	-	-	-	-	Fast	1	?
The Leech Spear	4	-	7-14	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Fourchette	5	-	10-17	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Hostage	5	Prison Story	9-14	-	-	-	-	-	-	-	-	-	-	Normal	0	6
Chandelle	6	-	5-8	-	-	-	5-8	-	-	-	-	-	-	Slow	0	?
Ragni's Spear	8	-	10-22	-	-	-	-	-	-	-	-	-	-	Slow	1	?
War Spear	8	-	13-16	-	-	-	-	-	-	-	-	-	-	Slow	1	?
Sledge	9	-	25-37	-	-	-	-	-	5	-	-	-	-	Very Slow	0	?
Isaz	10	-	1-3	-	-	6-9	-	-	-	-	-	-	-	Fast	1	8
